Effective Date,Activity Type,Gross,Symbol,Brokerage,Price,Quantity
20/12/2025,Portfolio deposit,$1500.0000,,,,
30/12/2025,Portfolio deposit (Buy),-$327.2506,VEU:AU,,$110.29,2.9671827800000000
30/12/2025,Portfolio deposit (Buy),-$111.6570,VAS:AU,,$109.28,1.0217511700000000
30/12/2025,Portfolio deposit (Buy),-$356.7052,HACK:AU,,$14.38,24.8056430900000000
30/12/2025,Portfolio deposit (Buy),-$82.3566,NDQ:AU,,$56.14,1.4669849400000000
30/12/2025,Portfolio deposit (Buy),-$156.6992,IVV:AU,,$68.57,2.2852440800000000
30/12/2025,Portfolio deposit (Buy),-$112.2067,PMGOLD:AU,,$64.55,1.7382911500000000
30/12/2025,Portfolio deposit (Buy),-$99.0443,URNM:AU,,$10.70,9.2564698700000000
30/12/2025,Portfolio deposit (Buy),-$43.0330,XMET:AU,,$14.47,2.9739423500000000
30/12/2025,Portfolio deposit (Buy),-$211.0478,VGE:AU,,$89.85,2.3488893400000000
16/12/2025,Distribution,$18.0094,HBRD:AU,,,
06/12/2025,Portfolio deposit,$1250.0000,,,,
12/12/2025,Portfolio deposit (Buy),-$291.5651,VEU:AU,,$111.30,2.6196323500000000
12/12/2025,Portfolio deposit (Buy),-$131.3386,VAS:AU,,$107.98,1.2163230100000000
12/12/2025,Portfolio deposit (Buy),-$179.3328,HACK:AU,,$15.00,11.9555171100000000
12/12/2025,Portfolio deposit (Buy),-$78.8016,NDQ:AU,,$56.70,1.3897983200000000
12/12/2025,Portfolio deposit (Buy),-$163.6867,IVV:AU,,$69.01,2.3719259400000000
12/12/2025,Portfolio deposit (Buy),-$130.6330,PMGOLD:AU,,$63.79,2.0478596000000000
12/12/2025,Portfolio deposit (Buy),-$2.1566,URNM:AU,,$11.00,0.1960456500000000
12/12/2025,Portfolio deposit (Buy),-$272.4860,VGE:AU,,$89.86,3.0323388000000000
02/12/2025,Buy,-$20.0200,HBRD:AU,,$10.11,1.9802176063303660
01/12/2025,Portfolio fee,-$4.2400,,,,
02/12/2025,Portfolio fee (Sell),$0.7051,PMGOLD:AU,,$64.25,-0.0109750100000000
02/12/2025,Portfolio fee (Sell),$3.5348,XMET:AU,,$13.70,-0.2580186500000000
22/11/2025,Portfolio deposit,$1250.0000,,,,
28/11/2025,Portfolio deposit (Buy),-$270.3630,VEU:AU,,$111.40,2.4269568300000000
28/11/2025,Portfolio deposit (Buy),-$114.8124,VAS:AU,,$107.38,1.0692153700000000
28/11/2025,Portfolio deposit (Buy),-$255.9177,HACK:AU,,$14.82,17.2683969500000000
28/11/2025,Portfolio deposit (Buy),-$48.0723,NDQ:AU,,$57.00,0.8433735900000000
28/11/2025,Portfolio deposit (Buy),-$93.4957,IVV:AU,,$69.59,1.3435216700000000
28/11/2025,Portfolio deposit (Buy),-$130.3677,PMGOLD:AU,,$63.35,2.0578952900000000
28/11/2025,Portfolio deposit (Buy),-$58.6121,URNM:AU,,$10.34,5.6684780400000000
28/11/2025,Portfolio deposit (Buy),-$47.9567,XMET:AU,,$13.08,3.6664142000000000
28/11/2025,Portfolio deposit (Buy),-$230.4027,VGE:AU,,$91.30,2.5235774900000000
18/11/2025,Distribution,$20.0197,HBRD:AU,,,
08/11/2025,Portfolio deposit,$1250.0000,,,,
14/11/2025,Portfolio deposit (Buy),-$230.5140,VEU:AU,,$112.36,2.0515663800000000
14/11/2025,Portfolio deposit (Buy),-$156.0665,VAS:AU,,$107.27,1.4548938500000000
14/11/2025,Portfolio deposit (Buy),-$237.5117,HACK:AU,,$15.19,15.6360534000000000
14/11/2025,Portfolio deposit (Buy),-$74.5199,NDQ:AU,,$56.49,1.3191689200000000
14/11/2025,Portfolio deposit (Buy),-$136.5354,IVV:AU,,$68.88,1.9822201400000000
14/11/2025,Portfolio deposit (Buy),-$84.4449,PMGOLD:AU,,$63.76,1.3244167500000000
14/11/2025,Portfolio deposit (Buy),-$95.8033,URNM:AU,,$10.34,9.2597109000000000
14/11/2025,Portfolio deposit (Buy),-$56.1808,XMET:AU,,$12.65,4.4408217100000000
14/11/2025,Portfolio deposit (Buy),-$178.4240,VGE:AU,,$92.98,1.9189492400000000
06/11/2025,Portfolio deposit,$1250.0000,,,,
12/11/2025,Portfolio deposit (Buy),-$254.6756,VEU:AU,,$112.84,2.2569616100000000
12/11/2025,Portfolio deposit (Buy),-$151.7497,VAS:AU,,$109.91,1.3806723100000000
12/11/2025,Portfolio deposit (Buy),-$210.1242,HACK:AU,,$15.59,13.4781342600000000
12/11/2025,Portfolio deposit (Buy),-$80.4351,NDQ:AU,,$57.67,1.3947461200000000
12/11/2025,Portfolio deposit (Buy),-$150.6770,IVV:AU,,$69.88,2.1562240500000000
12/11/2025,Portfolio deposit (Buy),-$92.2277,PMGOLD:AU,,$63.11,1.4613789100000000
