"Transaction Date","Type","Market","Amount","Rate inc. fee","Rate ex. fee","Fee","Fee AUD (inc GST)","GST AUD","Total AUD","Total (inc GST)"
11/10/2025 08:17 AM,Buy,XRP/AUD,428.35382483,3.501778,3.467106930680246,14.85148514851494 AUD,14.85,1.35,1500.00,1500.00 AUD
14/08/2025 10:36 PM,Buy,XRP/AUD,346.99045216,4.889904,4.841489108970833,16.79950495049502 AUD,16.80,1.53,1696.75,1696.75 AUD
31/07/2025 02:59 PM,Sell,BCAU/AUD,92713.11952838,0.03448,0.034828282828282826,32.29038748826815 AUD,32.29,2.94,3196.75,3196.748361338542 AUD
10/07/2025 05:58 AM,Sell,XRP/AUD,533.37965537,3.670771,3.7078494949494947,19.776914857799966 AUD,19.78,1.80,1957.91,1957.9145709221903 AUD
10/07/2025 05:52 AM,Sell,XRP/AUD,500,3.679112,3.7162747474747477,18.581373737373724 AUD,18.58,1.69,1839.56,1839.556 AUD
18/06/2025 09:32 AM,Buy,XRP/AUD,1033.3796553705602,3.3866110110083953,3.3832244,3.4996549194323308 AUD,3.50,0.32,3499.65,3499.65 AUD
18/06/2025 09:32 AM,Sell,BCAU/AUD,101567.03424260013,0.03446,0.0348080808080808,35.353535353535335 AUD,35.35,3.21,3500.00,3500 AUD
13/05/2025 12:21 PM,Buy,BCAU/AUD,56665.25003542,0.035295,0.03494554455445284,19.80198019801992 AUD,19.80,1.80,2000.00,2000.00 AUD
04/05/2025 11:36 AM,Buy,BCAU/AUD,56033.39590395,0.035693,0.03533960396040156,19.80198019801992 AUD,19.80,1.80,2000.00,2000.00 AUD
04/05/2025 10:02 AM,Buy,BCAU/AUD,81581.50783161,0.035561,0.035208910891090524,28.72396039603973 AUD,28.72,2.61,2901.12,2901.12 AUD
13/04/2025 08:53 PM,Sell,XRP/AUD,1258.40575721,3.49737,3.5326969696969694,44.45566205144951 AUD,44.46,4.04,4401.11,4401.110543093538 AUD
07/04/2025 01:35 PM,Buy,XRP/AUD,1258.40575721,3.178625,3.147153465337379,39.60396039603984 AUD,39.60,3.60,4000.00,4000.00 AUD
13/03/2025 10:46 AM,Sell,XRP/AUD,922.15384615,3.503776,3.5391676767676765,32.63657085301065 AUD,32.64,2.97,3231.02,3231.0205144480624 AUD
11/03/2025 04:50 AM,Buy,XRP/AUD,922.15384614693,3.2532532532776526,3.25,2.9999999999774047 AUD,3.00,0.27,3000.00,3000.00 AUD
03/03/2025 09:14 AM,Sell,XRP/AUD,1790.62082414,4.623057,4.669754545454546,83.6175973271329 AUD,83.62,7.60,8278.14,8278.142135386197 AUD
28/02/2025 12:55 PM,Sell,BCAU/XRP,185663.56720203,0.009644438330736,0.009741856899733333,18.08707903176196 XRP,62.13,5.65,6150.55,1790.6208241444374 XRP
20/12/2024 09:26 PM,Buy,BCAU/AUD,105663.56720203,0.037856,0.03748118811881143,39.60396039603984 AUD,39.60,3.60,4000.00,4000.00 AUD
17/11/2024 02:06 AM,Sell,BCAU/AUD,61742.11553185,0.040527,0.04093636363636364,25.274976930902085 AUD,25.27,2.30,2502.22,2502.222716159285 AUD
05/11/2024 08:16 AM,Sell,BCAU/AUD,73566.69900738,0.038106,0.03849090909090909,28.316491236113507 AUD,28.32,2.57,2803.33,2803.332632375222 AUD
24/09/2024 01:11 PM,Sell,GAS/ETH,6.5797978,0.001416772140317,0.0014310829700171718,0.00009416236577736506 ETH,0.37,0.03,36.30,0.009322074211959087 ETH
24/09/2024 01:11 PM,Sell,NEO/ETH,14.07042254,0.003737394193949,0.003775145650453536,0.0005311789445192477 ETH,2.07,0.19,204.70,0.05258671550740514 ETH
05/08/2024 11:11 AM,Buy,BCAU/AUD,58613.21141785,0.034122,0.033784158415843646,19.80198019801992 AUD,19.80,1.80,2000.00,2000.00 AUD
15/02/2024 09:41 AM,Buy,BCAU/AUD,94017.36187283,0.031909,0.031593069306929296,29.70297029702988 AUD,29.70,2.70,3000.00,3000.00 AUD
15/02/2024 09:41 AM,Buy,BCAU/AUD,62678.24124855,0.031909,0.031593069306930975,19.80198019801992 AUD,19.80,1.80,2000.00,2000.00 AUD
10/11/2023 01:25 PM,Sell,ADA/AUD,1575.96156241,0.580692,0.5865575757575757,9.243921935343337 AUD,9.24,0.84,915.15,915.1482715989877 AUD
10/11/2023 01:25 PM,Sell,BTC/AUD,0.03874587,57430.02,58010.12121212121,22.476526151690905 AUD,22.48,2.04,2225.18,2225.1760890174 AUD
10/11/2023 01:25 PM,Sell,ETH/AUD,0.99899301,3294.81,3328.090909090909,33.24739554826374 AUD,33.25,3.02,3291.49,3291.4921592780997 AUD
14/07/2023 02:50 PM,Sell,XRP/ETH,1180.17395425,0.000382944450659,0.00038681257642323233,0.0045650612787103695 ETH,13.59,1.24,1345.81,0.451941066592326 ETH
