symbol,acquired_date,disposed_date,fy,quantity,proceeds,cost_base,capital_gain,discount_eligible,capital_gain_discounted_component,capital_gain_other_component
ETH-AUD,2020-10-28,2020-11-14,2021,1.10466981,739.3887727,635.8209617024136,103.56781099758643,False,0.0,103.56781099758643
XRP-AUD,2020-12-04,2020-12-15,2021,2843.42384042,1801.6860386634808,2325.7725742574257,-524.086535593945,False,0.0,-524.086535593945
XRP-AUD,2021-01-04,2021-05-18,2021,228.87538533,477.0156280017112,69.41854886396352,407.5970791377477,False,0.0,407.5970791377477
ADA-AUD,2021-05-18,2021-08-20,2022,168.47079432,537.0549366752831,477.0170297029704,60.037906972312726,False,0.0,60.037906972312726
ETH-AUD,2020-10-28,2021-09-03,2022,0.24046422,1259.0904017169698,138.40533182980778,1120.6850698871622,False,0.0,1120.6850698871622
XRP-AUD,2021-01-04,2021-09-06,2022,800.0,1454.3879797979798,242.64225273110463,1211.7457270668751,False,0.0,1211.7457270668751
ADA-AUD,2021-08-24,2023-11-10,2024,717.14343203,416.4412385143261,3000.997128712871,-2584.555890198545,True,0.0,-2584.555890198545
ADA-AUD,2021-09-04,2023-11-10,2024,356.14990660698004,206.81428788149023,1440.2856226921995,-1233.4713348107093,True,0.0,-1233.4713348107093
ADA-AUD,2021-09-04,2023-11-10,2024,138.40454883807,80.37075870720835,559.7143773058028,-479.3436185985945,True,0.0,-479.3436185985945
ADA-AUD,2021-09-06,2023-11-10,2024,364.2636749349499,211.52590843130616,1425.696665661334,-1214.170757230028,True,0.0,-1214.170757230028
BTC-AUD,2021-02-15,2023-11-10,2024,0.00666071,382.52411133323153,429.70119220007666,-47.17708086684513,True,0.0,-47.17708086684513
BTC-AUD,2023-04-21,2023-11-10,2024,0.03208516,1842.6485038358594,1377.926476203425,464.72202763243445,False,0.0,464.72202763243445
ETH-AUD,2020-10-28,2023-11-10,2024,0.99899301,3291.4895548263635,574.9959767183179,2716.4935781080458,True,2716.4935781080458,0.0
BCAU-AUD,2024-02-15,2024-11-05,2025,73566.69900738,2803.3291236113287,2347.4374744285565,455.8916491827722,False,0.0,455.8916491827722
BCAU-AUD,2024-02-15,2024-11-17,2025,20450.66286545001,828.8056624425609,652.5595552744044,176.24610716815653,False,0.0,176.24610716815653
BCAU-AUD,2024-02-15,2024-11-17,2025,41291.45266639999,1673.4220306476234,1317.56765860844,355.8543720391833,False,0.0,355.8543720391833
XRP-AUD,2021-01-04,2025-03-03,2025,1790.62082414,8278.139732713329,543.100338195696,7735.039394517633,True,7735.039394517633,0.0
XRP-AUD,2021-01-04,2025-03-13,2025,647.9569588376003,2270.2936318973684,196.52717020643865,2073.7664616909296,True,2073.7664616909296,0.0
XRP-AUD,2021-02-15,2025-03-13,2025,228.87538533,801.9272310076203,182.99206060589654,618.9351704017238,True,618.9351704017238,0.0
XRP-AUD,2021-06-07,2025-03-13,2025,45.32150198239978,158.79622239608454,58.41151760245501,100.38470479362954,True,100.38470479362954,0.0
XRP-AUD,2021-06-07,2025-04-13,2025,963.3476211776002,3369.179749047247,1241.5871952688321,2127.5925537784146,True,2127.5925537784146,0.0
XRP-AUD,2021-08-20,2025-04-13,2025,295.05813603239983,1031.9264560977401,522.49774435167,509.4287117460701,True,509.4287117460701,0.0
BCAU-AUD,2024-02-15,2025-06-18,2025,21386.78858215001,736.9894789739544,682.4303611935352,54.55911778041923,True,54.55911778041923,0.0
BCAU-AUD,2024-08-05,2025-06-18,2025,58613.21141785,2019.8133056725103,1999.998019801977,19.815285870533216,False,0.0,19.815285870533216
BCAU-AUD,2024-12-20,2025-06-18,2025,21567.034242600108,743.2007507070704,816.4408399297915,-73.24008922272117,False,0.0,-73.24008922272117
XRP-AUD,2021-08-20,2025-07-10,2026,8.219270307600198,30.239638602173198,14.554928915656774,15.684709686516424,True,15.684709686516424,0.0
XRP-AUD,2021-09-10,2025-07-10,2026,491.7807296923998,1809.3177351352008,735.9446705556612,1073.3730645795395,True,1073.3730645795395,0.0
XRP-AUD,2021-09-10,2025-07-10,2026,172.89700173310013,634.6642998884797,258.7385379254613,375.92576196301843,True,375.92576196301843,0.0
XRP-AUD,2021-09-10,2025-07-10,2026,3.54969332343,13.030090778619986,5.31679151852785,7.7132992600921355,True,7.7132992600921355,0.0
XRP-AUD,2025-03-11,2025-07-10,2026,356.9329603134699,1310.2170951128908,1161.193314333119,149.02378077977187,False,0.0,149.02378077977187
BCAU-AUD,2024-12-20,2025-07-31,2026,84096.5329594299,2899.6488079169626,3183.555199674165,-283.9063917572025,False,0.0,-283.9063917572025
BCAU-AUD,2025-05-04,2025-07-31,2026,8616.586568950108,297.09994090984543,306.41401668395554,-9.314075774110108,False,0.0,-9.314075774110108
